MaSV,TenSV,GPA,ChuyenCan,DiemGiuaKy,SoMonTruot,SoTinChi,LichSuCanhBao,NoHocPhi,NguyCo
SV20951,Lê Thị Dũng,2.2,47,5.5,0,15,0,0,Thap
SV20952,Trần Thảo Trang,0.0,60,0.0,5,15,1,1,Cao
SV20953,Nguyễn Thị Nam,2.71,39,6.8,0,18,0,0,Thap
SV20954,Hoàng Ngọc An,0.0,0,0.0,7,21,0,0,Cao
SV20955,Phạm Quang An,2.25,47,5.6,6,30,0,0,Cao
SV20956,Vũ Thảo Hương,2.67,40,6.7,2,15,0,0,Cao
SV20957,Vũ Anh Dũng,2.4,33,6.0,0,18,0,0,Thap
SV20958,Lê Minh Nam,2.5,33,6.2,0,18,0,0,Thap
SV20959,Vũ Văn Giang,2.64,40,6.6,0,15,0,0,Thap
SV20960,Trần Thảo Giang,0.0,33,0.0,5,15,0,0,Cao
SV20961,Trần Đức Nam,2.33,47,5.8,2,15,0,0,Cao
SV20962,Đặng Đức Dũng,2.69,36,6.7,0,45,0,0,Thap
SV20963,Trần Anh Hương,2.73,47,6.8,2,15,0,0,Thap
SV20964,Bùi Anh Bình,2.33,60,5.8,3,15,0,0,Trung Binh
SV20965,Phạm Quang Cường,2.33,39,5.8,0,18,0,0,Thap
SV20966,Đặng Minh Giang,2.68,50,6.7,1,18,0,0,Thap
SV20967,Lê Thị Trang,0.0,33,0.0,5,15,0,0,Cao
SV20968,Nguyễn Thị Bình,0.0,50,0.0,6,18,0,0,Cao
SV20969,Hoàng Quang Linh,0.0,33,0.0,5,15,0,0,Cao
SV20970,Đặng Văn Khánh,2.13,40,5.3,2,15,0,0,Trung Binh
SV20971,Lê Văn Cường,2.75,33,6.9,1,15,0,0,Thap
SV20972,Hoàng Văn Cường,2.0,33,5.0,4,15,0,0,Cao
SV20973,Đặng Thảo An,0.0,73,0.0,5,15,0,0,Cao
SV20974,Phạm Đức Khánh,3.2,67,8.0,1,6,0,0,Thap
SV20975,Bùi Văn Giang,2.46,60,6.1,0,15,0,0,Thap
SV20976,Đặng Đức Dũng,2.4,67,6.0,2,15,1,1,Trung Binh
SV20977,Hoàng Đức Dũng,2.53,33,6.3,1,21,0,0,Thap
SV20978,Phạm Ngọc Khánh,2.36,40,5.9,0,15,0,0,Thap
SV20979,Trần Quang Giang,2.12,40,5.3,0,15,1,1,Cao
SV20980,Phạm Quang Cường,2.38,48,6.0,2,33,0,0,Thap
SV20981,Đặng Minh Hương,2.25,44,5.6,2,18,0,0,Cao
SV20982,Vũ Quang Giang,2.2,60,5.5,1,15,0,0,Trung Binh
SV20983,Hoàng Ngọc Giang,2.4,33,6.0,0,18,0,0,Thap
SV20984,Vũ Quang Bình,2.35,67,5.9,1,15,0,0,Trung Binh
SV20985,Vũ Minh Giang,2.0,53,5.0,3,15,0,0,Cao
SV20986,Vũ Ngọc Giang,2.74,33,6.9,1,24,0,0,Thap
SV20987,Trần Quang Trang,2.98,78,7.4,0,18,0,0,Thap
SV20988,Bùi Quang Giang,2.16,39,5.4,1,18,0,0,Cao
SV20989,Nguyễn Anh Giang,2.4,61,6.0,3,18,0,0,Cao
SV20990,Trần Thị Giang,2.5,56,6.2,1,18,1,1,Cao
SV20991,Hoàng Thị Giang,2.95,33,7.4,0,21,0,0,Thap
SV20992,Hoàng Thảo Dũng,2.4,44,6.0,0,18,0,0,Thap
SV20993,Nguyễn Minh An,2.29,44,5.7,0,18,0,0,Cao
SV20994,Phạm Minh Giang,2.83,33,7.1,0,18,0,0,Thap
SV20995,Phạm Thảo Khánh,2.5,67,6.2,1,18,0,0,Thap
SV20996,Hoàng Thị Dũng,2.83,33,7.1,0,18,0,0,Thap
SV20997,Trần Đức Bình,2.89,48,7.2,2,21,0,0,Trung Binh
SV20998,Bùi Minh Nam,2.56,67,6.4,1,18,0,0,Trung Binh
SV20999,Hoàng Đức Hương,2.53,44,6.3,0,18,0,0,Thap
SV21000,Trần Anh Trang,2.5,33,6.2,0,18,0,0,Cao
SV21001,Hoàng Văn Nam,0.0,0,0.0,6,18,0,0,Cao
SV21002,Bùi Văn Linh,0.0,0,0.0,6,18,0,0,Cao
SV21003,Nguyễn Văn An,0.0,85,0.0,0,0,0,0,Thap
SV21004,Trần Đức An,2.24,53,5.6,0,15,0,0,Thap
SV21005,Trần Thị Trang,3.3,33,8.2,0,18,0,0,Cao
SV21006,Bùi Đức Linh,2.73,60,6.8,2,15,0,0,Thap
SV21007,Hoàng Đức Khánh,3.05,33,7.6,1,24,0,0,Thap
SV21008,Trần Thảo Hương,2.56,37,6.4,0,27,0,0,Thap
SV21009,Bùi Văn An,2.89,33,7.2,1,24,0,0,Thap
SV21010,Phạm Quang Linh,2.78,44,6.9,0,18,0,0,Thap
SV21011,Hoàng Minh Giang,2.63,48,6.6,0,21,0,0,Thap
SV21012,Bùi Đức An,2.32,43,5.8,1,21,0,0,Thap
SV21013,Đặng Anh Linh,2.92,33,7.3,0,15,0,0,Thap
SV21014,Hoàng Thảo Nam,0.0,0,0.0,6,18,0,0,Cao
SV21015,Đặng Minh An,2.36,40,5.9,0,15,0,0,Thap
SV21016,Hoàng Minh Linh,2.47,33,6.2,0,18,0,0,Thap
SV21017,Lê Thảo An,2.2,33,5.5,1,15,1,1,Cao
SV21018,Hoàng Đức Giang,2.64,33,6.6,0,33,0,0,Thap
SV21019,Bùi Thị Dũng,2.2,33,5.5,5,18,1,1,Cao
SV21020,Lê Đức Cường,2.37,33,5.9,0,18,1,1,Thap
SV21021,Đặng Minh Cường,2.6,33,6.5,0,24,0,0,Thap
SV21022,Lê Thị Giang,2.27,48,5.7,1,21,0,0,Thap
SV21023,Hoàng Ngọc Hương,2.34,50,5.8,2,24,0,0,Thap
SV21024,Bùi Thảo Trang,2.9,33,7.2,0,18,0,0,Thap
SV21025,Vũ Quang An,2.63,33,6.6,0,21,0,0,Thap
SV21026,Đặng Thảo Linh,2.3,53,5.8,3,15,0,0,Cao
SV21027,Nguyễn Văn Bình,2.84,40,7.1,0,15,0,0,Thap
SV21028,Đặng Thị Cường,2.33,44,5.8,1,18,0,0,Thap
SV21029,Nguyễn Đức Dũng,2.64,38,6.6,0,21,0,0,Thap
SV21030,Vũ Văn Nam,2.66,33,6.7,1,24,0,0,Thap
SV21031,Nguyễn Thị Khánh,2.12,87,5.3,2,15,0,0,Thap
SV21032,Vũ Quang Bình,2.4,61,6.0,2,18,0,0,Trung Binh
SV21033,Trần Anh Dũng,2.69,39,6.7,0,18,0,0,Thap
SV21034,Phạm Minh Linh,2.65,47,6.6,1,15,0,0,Thap
SV21035,Trần Ngọc Giang,2.6,33,6.5,4,18,0,0,Cao
SV21036,Bùi Quang Bình,2.87,33,7.2,0,18,0,0,Trung Binh
SV21037,Lê Thị An,0.0,0,0.0,6,18,0,0,Cao
SV21038,Bùi Thị Khánh,2.8,33,7.0,0,18,0,0,Thap
SV21039,Nguyễn Văn Linh,2.4,33,6.0,0,6,0,0,Thap
SV21040,Lê Ngọc Trang,2.47,50,6.2,1,18,0,0,Trung Binh
SV21041,Nguyễn Thị Hương,2.36,44,5.9,1,18,0,0,Thap
SV21042,Phạm Ngọc Dũng,2.56,33,6.4,1,24,0,0,Thap
SV21043,Hoàng Đức Cường,2.33,33,5.8,0,24,0,0,Thap
SV21044,Vũ Văn Linh,2.4,52,6.0,1,21,0,0,Thap
SV21045,Hoàng Minh Trang,2.32,50,5.8,1,18,0,0,Thap
SV21046,Bùi Ngọc Khánh,0.0,33,0.0,5,15,0,0,Cao
SV21047,Đặng Văn Nam,2.63,44,6.6,0,18,0,0,Cao
SV21048,Đặng Thị Giang,2.82,33,7.0,1,24,0,0,Thap
SV21049,Hoàng Ngọc Giang,2.48,38,6.2,1,21,0,0,Thap
SV21050,Vũ Thảo Linh,3.0,33,7.5,0,21,0,0,Thap
SV21051,Vũ Quang Khánh,0.0,85,0.0,0,0,0,0,Thap
SV21052,Phạm Thảo Hương,2.81,38,7.0,0,21,0,0,Thap
SV21053,Vũ Minh Nam,2.97,38,7.4,0,21,0,0,Cao
SV21054,Vũ Đức Bình,2.6,56,6.5,0,18,0,0,Thap
SV21055,Trần Anh Giang,2.96,38,7.4,0,21,0,0,Thap
SV21056,Đặng Đức Bình,2.74,33,6.8,0,21,0,0,Thap
SV21057,Đặng Quang Cường,2.5,33,6.2,0,21,0,0,Cao
SV21058,Đặng Thảo Hương,2.91,33,7.3,1,21,0,0,Thap
SV21059,Lê Anh An,2.24,33,5.6,0,15,1,1,Cao
SV21060,Bùi Minh Hương,2.54,33,6.3,1,24,0,0,Thap
SV21061,Lê Quang Khánh,2.71,44,6.8,2,27,1,1,Cao
SV21062,Phạm Quang Nam,0.0,0,0.0,6,18,0,0,Cao
SV21063,Bùi Anh Linh,2.2,44,5.5,1,18,0,0,Thap
SV21064,Trần Thị Linh,2.89,33,7.2,0,24,0,0,Thap
SV21065,Nguyễn Đức Giang,2.72,50,6.8,1,18,1,1,Trung Binh
SV21066,Lê Văn Dũng,2.8,33,7.0,1,36,1,1,Cao
SV21067,Bùi Minh Trang,2.68,33,6.7,1,21,0,0,Thap
SV21068,Trần Minh Nam,2.47,53,6.2,0,15,0,0,Thap
SV21069,Trần Anh Khánh,2.62,38,6.6,0,21,0,0,Thap
SV21070,Lê Minh Bình,2.64,50,6.6,2,18,0,0,Thap
SV21071,Nguyễn Thảo Nam,2.95,33,7.4,0,24,0,0,Thap
SV21072,Phạm Đức Hương,2.63,39,6.6,0,18,0,0,Thap
SV21073,Trần Thị Trang,2.5,50,6.2,2,18,0,0,Trung Binh
SV21074,Vũ Đức An,2.75,40,6.9,1,15,0,0,Thap
SV21075,Vũ Ngọc Nam,2.48,61,6.2,1,18,0,0,Thap
SV21076,Trần Anh Nam,2.67,33,6.7,0,18,0,0,Thap
SV21077,Phạm Minh Cường,2.35,33,5.9,0,33,0,0,Cao
SV21078,Đặng Quang Hương,2.5,44,6.2,2,18,0,0,Cao
SV21079,Bùi Minh Giang,0.0,85,0.0,0,0,1,1,Cao
SV21080,Trần Đức Dũng,2.71,38,6.8,1,21,0,0,Thap
SV21081,Phạm Thị Linh,2.63,33,6.6,0,18,0,0,Thap
SV21082,Vũ Minh Trang,2.64,50,6.6,1,18,0,0,Thap
SV21083,Hoàng Ngọc Giang,2.44,39,6.1,1,18,0,0,Trung Binh
SV21084,Vũ Thảo Khánh,2.69,33,6.7,0,21,0,0,Thap
SV21085,Hoàng Thị Hương,2.54,44,6.4,0,18,0,0,Thap
SV21086,Vũ Đức Nam,0.0,0,0.0,6,18,0,0,Cao
SV21087,Hoàng Đức An,2.73,33,6.8,0,18,0,0,Thap
SV21088,Đặng Quang Dũng,2.2,33,5.5,1,18,1,1,Thap
SV21089,Hoàng Ngọc Cường,2.28,52,5.7,2,21,0,0,Trung Binh
SV21090,Bùi Anh Trang,0.0,85,0.0,0,0,0,0,Trung Binh
SV21091,Đặng Đức Dũng,2.4,47,6.0,1,15,0,0,Thap
SV21092,Bùi Ngọc Linh,0.0,33,0.0,6,18,0,0,Cao
SV21093,Trần Ngọc Bình,2.2,78,5.5,1,18,0,0,Thap
SV21094,Lê Quang Cường,2.4,67,6.0,1,18,0,0,Cao
SV21095,Nguyễn Quang Cường,2.66,33,6.7,0,21,0,0,Thap
SV21096,Vũ Thảo Trang,2.73,44,6.8,3,18,1,1,Cao
SV21097,Vũ Anh Dũng,0.0,33,0.0,6,18,1,1,Cao
SV21098,Bùi Minh Dũng,2.44,56,6.1,1,18,0,0,Thap
SV21099,Vũ Quang An,2.53,39,6.3,0,18,0,0,Thap
SV21100,Đặng Văn Bình,2.81,33,7.0,0,24,0,0,Thap
SV21101,Đặng Đức An,2.85,93,7.1,1,15,0,0,Cao
SV21102,Lê Đức Nam,0.0,0,0.0,6,18,0,0,Cao
SV21103,Phạm Ngọc An,2.4,56,6.0,3,18,0,0,Trung Binh
SV21104,Nguyễn Ngọc Dũng,2.23,60,5.6,4,30,0,0,Trung Binh
SV21105,Phạm Thảo Hương,2.6,67,6.5,4,18,0,0,Thap
SV21106,Đặng Ngọc Khánh,0.0,85,0.0,0,0,0,0,Cao
SV21107,Nguyễn Thị Giang,2.98,33,7.5,1,24,0,0,Cao
SV21108,Nguyễn Đức Trang,2.53,38,6.3,0,21,1,1,Thap
SV21109,Trần Minh An,2.2,33,5.5,5,36,0,0,Cao
SV21110,Vũ Ngọc Hương,2.48,47,6.2,1,15,0,0,Thap
SV21111,Hoàng Ngọc An,2.4,39,6.0,0,18,0,0,Thap
SV21112,Lê Anh Cường,2.43,38,6.1,0,21,0,0,Thap
SV21113,Hoàng Minh Trang,2.52,48,6.3,2,21,0,0,Trung Binh
SV21114,Lê Ngọc Trang,2.13,73,5.3,2,15,0,0,Trung Binh
SV21115,Lê Anh Giang,2.75,57,6.9,1,21,0,0,Thap
SV21116,Phạm Văn Giang,2.62,33,6.6,0,24,0,0,Thap
SV21117,Trần Thảo Giang,0.0,33,0.0,5,15,0,0,Cao
SV21118,Phạm Ngọc Trang,2.54,43,6.4,1,21,0,0,Thap
SV21119,Phạm Ngọc Khánh,2.37,52,5.9,0,21,0,0,Trung Binh
SV21120,Đặng Thị Cường,2.47,33,6.2,1,21,0,0,Thap
SV21121,Nguyễn Thảo Nam,3.15,50,7.9,2,18,0,0,Trung Binh
SV21122,Phạm Ngọc Nam,2.67,40,6.7,0,15,0,0,Thap
SV21123,Vũ Ngọc Nam,2.87,43,7.2,0,21,0,0,Thap
SV21124,Đặng Đức Linh,2.6,44,6.5,0,18,1,1,Thap
SV21125,Nguyễn Đức Giang,2.57,33,6.4,0,18,0,0,Thap
SV21126,Vũ Thảo Trang,2.64,33,6.6,0,15,0,0,Thap
SV21127,Vũ Ngọc Khánh,3.4,43,8.5,0,21,0,0,Thap
SV21128,Lê Quang Linh,2.12,44,5.3,1,18,1,1,Thap
SV21129,Trần Thảo Hương,2.8,33,7.0,0,15,0,0,Thap
SV21130,Đặng Thị Nam,2.42,33,6.1,1,24,0,0,Thap
SV21131,Hoàng Ngọc Nam,2.61,33,6.5,0,24,0,0,Thap
SV21132,Hoàng Đức Linh,2.66,33,6.6,1,24,0,0,Thap
SV21133,Lê Đức Bình,2.2,60,5.5,1,15,0,0,Trung Binh
SV21134,Trần Minh Nam,2.81,33,7.0,0,21,0,0,Thap
SV21135,Hoàng Đức Bình,0.0,0,0.0,6,18,0,0,Cao
SV21136,Nguyễn Minh Khánh,2.25,33,5.6,5,27,0,0,Cao
SV21137,Vũ Quang Bình,2.8,33,7.0,0,18,0,0,Thap
SV21138,Bùi Thảo Dũng,2.43,44,6.1,0,18,0,0,Cao
SV21139,Bùi Quang Khánh,2.66,33,6.6,1,24,0,0,Thap
SV21140,Hoàng Thị Trang,2.78,78,7.0,0,18,0,0,Thap
SV21141,Phạm Thảo Nam,2.67,52,6.7,0,21,0,0,Thap
SV21142,Hoàng Thị Giang,2.48,33,6.2,0,15,0,0,Trung Binh
SV21143,Trần Anh Cường,3.0,33,7.5,1,15,0,0,Cao
SV21144,Đặng Thị Giang,2.67,33,6.7,0,18,1,1,Thap
SV21145,Bùi Văn Cường,2.4,53,6.0,2,15,0,0,Trung Binh
SV21146,Lê Văn Giang,2.68,39,6.7,1,18,0,0,Thap
SV21147,Bùi Đức Nam,0.0,85,0.0,0,0,0,0,Trung Binh
SV21148,Hoàng Văn An,2.3,60,5.8,1,15,0,0,Thap
SV21149,Trần Anh Dũng,2.4,57,6.0,1,21,0,0,Trung Binh
SV21150,Đặng Thị Nam,2.7,33,6.7,1,24,0,0,Thap
SV21151,Đặng Ngọc Khánh,2.4,33,6.0,0,18,0,0,Thap
SV21152,Nguyễn Văn Linh,0.0,85,0.0,0,0,0,0,Cao
SV21153,Hoàng Anh Bình,2.07,47,5.2,2,15,0,0,Trung Binh
SV21154,Phạm Thị Nam,2.59,48,6.5,2,21,0,0,Trung Binh
SV21155,Đặng Ngọc An,2.65,46,6.6,1,24,0,0,Thap
SV21156,Nguyễn Thị Hương,2.45,60,6.1,1,15,0,0,Trung Binh
SV21157,Vũ Ngọc Bình,2.33,50,5.8,3,18,0,0,Cao
SV21158,Nguyễn Thị Giang,2.71,39,6.8,0,18,0,0,Thap
SV21159,Hoàng Thị Hương,2.36,50,5.9,1,18,0,0,Thap
SV21160,Bùi Văn Bình,2.84,47,7.1,0,15,0,0,Thap
SV21161,Trần Thị Cường,2.2,53,5.5,0,15,0,0,Thap
SV21162,Hoàng Quang Hương,2.72,76,6.8,3,21,0,0,Trung Binh
SV21163,Phạm Thảo Linh,2.93,33,7.3,1,24,0,0,Thap
SV21164,Vũ Đức Trang,2.27,50,5.7,0,18,0,0,Thap
SV21165,Lê Thảo Cường,2.74,57,6.8,3,21,1,1,Cao
SV21166,Đặng Văn Khánh,2.75,33,6.9,0,33,0,0,Thap
SV21167,Hoàng Đức Trang,2.35,43,5.9,0,21,0,0,Cao
SV21168,Đặng Đức Dũng,2.47,50,6.2,0,18,0,0,Thap
SV21169,Vũ Quang Linh,2.8,33,7.0,0,18,0,0,Cao
SV21170,Bùi Anh Hương,2.3,47,5.8,1,15,0,0,Thap
SV21171,Phạm Đức Nam,2.24,40,5.6,0,15,0,0,Thap
SV21172,Bùi Thị Trang,3.01,33,7.5,1,24,0,0,Thap
SV21173,Nguyễn Quang Bình,2.0,40,5.0,4,15,0,0,Cao
SV21174,Nguyễn Thảo Cường,2.4,33,6.0,1,15,0,0,Trung Binh
SV21175,Bùi Đức An,2.6,61,6.5,2,18,0,0,Thap
SV21176,Trần Đức Cường,2.2,39,5.5,2,18,0,0,Cao
SV21177,Vũ Quang Dũng,2.71,44,6.8,0,18,0,0,Thap
SV21178,Đặng Văn Bình,2.92,39,7.3,1,18,0,0,Thap
SV21179,Lê Minh Giang,2.37,62,5.9,4,21,1,1,Cao
SV21180,Lê Minh Linh,2.52,52,6.3,0,21,0,0,Thap
SV21181,Phạm Thị Linh,2.3,57,5.8,3,21,0,0,Cao
SV21182,Bùi Đức Nam,2.65,53,6.6,1,15,0,0,Thap
SV21183,Phạm Anh Giang,2.52,43,6.3,0,21,0,0,Thap
SV21184,Bùi Quang Nam,2.75,50,6.9,2,30,1,1,Cao
SV21185,Đặng Quang Linh,2.72,48,6.8,1,21,0,0,Trung Binh
SV21186,Trần Thị Dũng,2.23,61,5.6,1,18,0,0,Thap
SV21187,Vũ Đức Bình,2.54,33,6.4,0,33,0,0,Trung Binh
SV21188,Đặng Thảo Cường,2.0,60,5.0,4,15,0,0,Cao
SV21189,Hoàng Minh Bình,2.33,44,5.8,0,18,1,1,Thap
SV21190,Lê Thảo Hương,2.8,44,7.0,0,18,0,0,Thap
SV21191,Nguyễn Đức An,0.0,60,0.0,5,15,0,0,Cao
SV21192,Đặng Thảo Linh,2.41,38,6.0,1,24,0,0,Thap
SV21193,Hoàng Thảo Giang,0.0,85,0.0,0,0,0,0,Thap
SV21194,Phạm Ngọc Hương,2.75,36,6.9,0,39,0,0,Thap
SV21195,Vũ Ngọc Cường,3.09,37,7.7,0,54,0,0,Thap
SV21196,Bùi Văn Khánh,2.3,43,5.8,1,21,0,0,Trung Binh
SV21197,Bùi Văn Khánh,2.0,33,5.0,1,9,0,0,Cao
SV21198,Hoàng Anh Bình,2.45,44,6.1,2,18,0,0,Cao
SV21199,Phạm Đức Hương,2.9,33,7.2,0,18,0,0,Thap
SV21200,Trần Quang Khánh,3.11,39,7.8,0,18,0,0,Thap
SV21201,Bùi Minh Giang,3.11,39,7.8,0,18,0,0,Thap
SV21202,Nguyễn Minh An,2.76,44,6.9,1,18,0,0,Thap
SV21203,Phạm Văn Dũng,2.13,53,5.3,2,15,1,1,Cao
SV21204,Trần Thị Giang,2.32,44,5.8,1,18,1,1,Thap
SV21205,Lê Anh Nam,2.6,61,6.5,5,18,0,0,Cao
SV21206,Phạm Ngọc Bình,2.4,60,6.0,2,15,0,0,Thap
SV21207,Vũ Minh Nam,2.47,33,6.2,2,42,1,1,Thap
SV21208,Lê Thị Nam,2.58,56,6.4,0,18,1,1,Trung Binh
SV21209,Hoàng Thảo Bình,2.2,67,5.5,5,18,0,0,Cao
SV21210,Vũ Minh Trang,2.45,56,6.1,2,18,1,1,Cao
SV21211,Bùi Anh Linh,0.0,33,0.0,7,21,0,0,Cao
SV21212,Trần Ngọc An,2.15,61,5.4,2,18,0,0,Trung Binh
SV21213,Hoàng Minh Dũng,2.73,38,6.8,0,24,0,0,Thap
SV21214,Trần Văn Cường,2.6,53,6.5,2,15,0,0,Thap
SV21215,Đặng Thị Trang,2.71,43,6.8,1,21,0,0,Trung Binh
SV21216,Lê Văn Khánh,3.38,33,8.4,0,21,0,0,Thap
SV21217,Bùi Thảo Hương,2.4,56,6.0,1,18,0,0,Thap
SV21218,Nguyễn Anh Cường,2.5,33,6.2,0,18,0,0,Thap
SV21219,Nguyễn Đức Bình,2.55,33,6.4,1,24,0,0,Thap
SV21220,Trần Minh Linh,2.75,53,6.9,0,15,0,0,Thap
SV21221,Bùi Đức Khánh,0.0,85,0.0,0,0,1,1,Cao
SV21222,Vũ Văn Dũng,2.92,33,7.3,0,21,0,0,Thap
SV21223,Phạm Văn Linh,0.0,47,0.0,5,15,1,1,Cao
SV21224,Đặng Quang Cường,2.77,50,6.9,1,18,1,1,Thap
SV21225,Phạm Thị Nam,2.72,33,6.8,0,24,0,0,Thap
SV21226,Đặng Ngọc Giang,3.03,39,7.6,0,18,0,0,Thap
SV21227,Lê Văn Giang,2.13,53,5.3,2,15,0,0,Thap
SV21228,Hoàng Ngọc Dũng,2.24,61,5.6,1,18,0,0,Thap
SV21229,Vũ Đức An,2.75,33,6.9,0,24,0,0,Thap
SV21230,Đặng Văn Cường,2.65,37,6.6,1,27,1,1,Trung Binh
SV21231,Phạm Anh Bình,2.14,56,5.4,1,18,0,0,Thap
SV21232,Lê Văn Hương,2.43,33,6.1,0,18,1,1,Thap
SV21233,Lê Minh Khánh,2.87,38,7.2,1,21,0,0,Thap
SV21234,Lê Minh Bình,2.57,33,6.4,0,18,0,0,Thap
SV21235,Bùi Ngọc Hương,2.79,33,7.0,1,24,0,0,Thap
SV21236,Vũ Đức Giang,2.4,60,6.0,3,15,0,0,Cao
SV21237,Bùi Ngọc Cường,2.69,33,6.7,0,21,0,0,Thap
SV21238,Lê Ngọc Dũng,3.2,33,8.0,4,15,0,0,Cao
SV21239,Nguyễn Văn Linh,2.62,44,6.6,0,18,0,0,Thap
SV21240,Bùi Ngọc Trang,0.0,39,0.0,6,18,0,0,Cao
SV21241,Vũ Quang Hương,2.28,33,5.7,4,27,0,0,Cao
SV21242,Bùi Văn Cường,2.2,100,5.5,2,12,0,0,Cao
SV21243,Vũ Minh Cường,2.2,87,5.5,4,15,0,0,Trung Binh
SV21244,Trần Minh Nam,2.73,78,6.8,1,18,0,0,Thap
SV21245,Phạm Đức Khánh,2.35,56,5.9,2,18,0,0,Cao
SV21246,Vũ Quang Nam,2.0,52,5.0,6,21,0,0,Cao
SV21247,Lê Đức Khánh,2.7,44,6.8,0,18,0,0,Thap
SV21248,Nguyễn Đức Cường,0.0,0,0.0,6,18,1,1,Cao
SV21249,Đặng Đức Linh,2.4,67,6.0,5,18,1,1,Trung Binh
SV21250,Vũ Anh Dũng,2.6,61,6.5,3,18,0,0,Cao
SV21251,Bùi Văn Nam,2.97,39,7.4,0,18,0,0,Thap
SV21252,Bùi Văn Linh,2.37,33,5.9,0,18,0,0,Thap
SV21253,Phạm Văn Giang,2.4,56,6.0,1,18,0,0,Thap
SV21254,Lê Văn Nam,2.55,61,6.4,2,18,0,0,Thap
SV21255,Phạm Minh Dũng,0.0,33,0.0,5,15,0,0,Trung Binh
SV21256,Phạm Thảo Bình,0.0,39,0.0,6,18,0,0,Cao
SV21257,Nguyễn Anh Hương,2.4,33,6.0,0,18,0,0,Thap
SV21258,Nguyễn Thảo Khánh,2.34,43,5.8,0,21,0,0,Thap
SV21259,Bùi Anh An,2.72,33,6.8,1,24,0,0,Thap
SV21260,Bùi Ngọc Cường,3.2,39,8.0,0,18,0,0,Thap
SV21261,Lê Thảo Bình,2.36,50,5.9,1,18,0,0,Thap
SV21262,Hoàng Quang Giang,0.0,33,0.0,5,15,1,1,Cao
SV21263,Hoàng Thảo Dũng,0.0,0,0.0,6,18,0,0,Cao
SV21264,Hoàng Minh An,3.23,39,8.1,0,18,1,1,Thap
SV21265,Hoàng Anh Nam,2.36,33,5.9,1,24,0,0,Thap
SV21266,Hoàng Văn Dũng,2.68,33,6.7,0,24,0,0,Thap
SV21267,Lê Văn Bình,2.5,44,6.2,0,18,0,0,Thap
SV21268,Bùi Thảo An,2.49,33,6.2,1,24,0,0,Thap
SV21269,Bùi Anh Khánh,2.48,55,6.2,3,33,1,1,Trung Binh
SV21270,Đặng Thảo Hương,2.0,44,5.0,5,18,0,0,Cao
SV21271,Phạm Ngọc Nam,2.52,44,6.3,1,18,0,0,Trung Binh
SV21272,Lê Thị Dũng,2.52,33,6.3,0,15,0,0,Thap
SV21273,Hoàng Ngọc Linh,2.0,47,5.0,3,15,0,0,Cao
SV21274,Hoàng Minh Hương,0.0,33,0.0,7,21,0,0,Cao
SV21275,Phạm Văn Cường,2.32,47,5.8,0,15,0,0,Thap
SV21276,Phạm Quang Khánh,2.43,44,6.1,0,18,0,0,Thap
SV21277,Phạm Đức Dũng,2.72,56,6.8,2,18,0,0,Thap
SV21278,Vũ Đức Cường,2.5,53,6.2,1,15,0,0,Cao
SV21279,Vũ Đức Bình,2.45,33,6.1,2,18,0,0,Trung Binh
SV21280,Bùi Thị Khánh,2.34,39,5.9,0,18,0,0,Thap
SV21281,Nguyễn Văn Linh,2.7,39,6.8,0,18,0,0,Thap
SV21282,Đặng Ngọc Hương,2.6,33,6.5,1,24,0,0,Thap
SV21283,Vũ Văn Bình,0.0,67,0.0,6,18,0,0,Cao
SV21284,Nguyễn Anh Hương,3.47,40,8.7,0,15,0,0,Thap
SV21285,Trần Minh Linh,2.2,47,5.5,1,15,0,0,Thap
SV21286,Lê Đức Trang,2.73,48,6.8,1,21,0,0,Cao
SV21287,Nguyễn Văn An,2.28,50,5.7,0,18,0,0,Trung Binh
SV21288,Lê Thảo Cường,2.57,33,6.4,0,18,0,0,Thap
SV21289,Bùi Anh Dũng,2.52,50,6.3,1,18,0,0,Thap
SV21290,Bùi Văn Hương,2.87,38,7.2,1,21,0,0,Thap
SV21291,Nguyễn Ngọc An,2.7,53,6.8,1,15,0,0,Trung Binh
SV21292,Vũ Thảo Dũng,2.86,33,7.1,1,24,0,0,Thap
SV21293,Phạm Văn Trang,2.35,83,5.9,3,18,0,0,Cao
SV21294,Đặng Anh Giang,2.96,33,7.4,0,15,0,0,Thap
SV21295,Nguyễn Thảo Trang,0.0,39,0.0,6,18,1,1,Cao
SV21296,Lê Ngọc Nam,2.0,78,5.0,5,18,0,0,Cao
SV21297,Nguyễn Thảo Giang,0.0,33,0.0,5,15,0,0,Cao
SV21298,Nguyễn Văn An,2.52,48,6.3,3,21,0,0,Cao
SV21299,Bùi Anh Cường,2.49,60,6.2,0,15,0,0,Thap
SV21300,Lê Quang Khánh,2.0,56,5.0,2,18,0,0,Trung Binh
SV21301,Nguyễn Quang Cường,2.47,47,6.2,2,15,0,0,Cao
SV21302,Lê Anh An,0.0,0,0.0,6,18,0,0,Cao
SV21303,Bùi Đức Cường,0.0,85,0.0,0,0,1,1,Thap
SV21304,Phạm Thảo Linh,2.42,36,6.0,1,33,1,1,Thap
SV21305,Hoàng Anh An,2.94,39,7.4,0,18,0,0,Thap
SV21306,Hoàng Thị Khánh,2.53,33,6.3,0,18,0,0,Thap
SV21307,Phạm Thị Giang,2.88,39,7.2,0,36,0,0,Thap
